127.0.0.1 - - [03/Apr/2020:16:35:20 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:35:21 +0900] "GET /ex02/ex1.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:06 +0900] "GET /ex02/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:11 +0900] "GET /ex02/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:17 +0900] "GET /ex02/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:38 +0900] "GET /ex02/ex1.html HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:40 +0900] "GET /ex02/ex1.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:40:01 +0900] "GET /ex02/ex1.html HTTP/1.1" 200 265
